place,passing,jockey,up,borderNum,weight,popularity,topHourseNmae,basisWeigh,horseNum,distance,raceTitle,date,R,headCount,topDiff,weather,fieldCondition,money,order,name,time,rap,odds
,,,,,,,,,,,,,,,,,,,,グレンツェント ,,,
4中京2,6-6-7-6,ボウマン,36.2,4,480(0),10,ゴールドドリーム,57,8,ダ1800,チャンピオンズC(G1),2017/12/03,11,15,0.6,晴,良, ,10,グレンツェント ,1:50.7,36.2-36.2,22.2
大井,7-6-7-5,森泰斗,38.3,5,480(+8),6,サウンドトゥルー,57,7,ダ2000,JBCクラシック競走(G1),2017/11/03,9,13,1.0,晴,重,400.0,5,グレンツェント ,2:05.5,36.7-37.8,20.0
3京都9,10-10-9-10,ルメール,38.6,8,472(+8),2,グレイトパール,58,15,ダ1900,平安S(G3),2017/05/20,11,16,2.0,晴,良, ,10,グレンツェント ,1:57.7,28.6-38.0,4.8
2阪神7,11-11-11-10,ルメール,36.4,3,464(-6),1,モルトベーネ,58,6,ダ1800,アンタレスS(G3),2017/04/15,11,16,0.6,晴,良, ,9,グレンツェント ,1:50.5,36.3-36.6,2.3
1中京4,7-8-6-6,横山典弘,36.7,4,470(0),1,(モルトベーネ),55,8,ダ1800,東海テレビ杯東海S(G2),2017/01/22,11,16,-0.1,曇,良,"5,617.6",1,グレンツェント ,1:53.2,38.1-37.1,2.6
5中山8,10-9-10-10,戸崎圭太,38.4,5,470(-4),1,(トラキチシャチョウ),56,9,ダ1800,師走S(OP),2016/12/24,11,16,-0.1,晴,稍,"2,236.4",1,グレンツェント ,1:53.3,36.9-39.0,1.5
5京都2,8-8-7-8,川田将雅,36.1,3,474(+6),1,アポロケンタッキー,55,6,ダ1800,みやこS(G3),2016/11/06,11,16,0.0,曇,良,"1,516.2",2,グレンツェント ,1:50.1,36.2-36.8,3.6
2新潟4,5-5-4-4,戸崎圭太,36.6,5,468(+2),2,(ケイティブレイブ),56,6,ダ1800,レパードS(G3),2016/08/07,11,13,0.0,晴,良,"4,046.9",1,グレンツェント ,1:50.6,35.6-37.3,2.7
3東京6,11-11,ベリー,35.7,7,466(0),3,ゴールドドリーム,56,14,ダ1600,ユニコーンS(G3),2016/06/19,11,16,0.5,曇,良,888.4,3,グレンツェント ,1:36.3,35.3-36.2,5.0
2東京8,3-3,ルメール,35.7,8,466(-4),2,(アルーアキャロル),56,12,ダ1600,青竜S(OP),2016/05/15,10,12,0.0,晴,良,"1,827.3",1,グレンツェント ,1:36.9,36.5-36.0,4.2
3中山4,9-9-7-7,シュタル,38.1,7,470(+2),2,ストロングバローズ,56,13,ダ1800,伏竜S(OP),2016/04/03,10,15,0.3,曇,稍,729.0,2,グレンツェント ,1:52.7,36.5-38.4,2.8
2中山3,9-8-7-7,ルメール,37.0,5,468(-2),2,(スケールアップ),56,6,ダ1800,3歳500万下,2016/03/05,6,12,-0.6,曇,良,720.0,1,グレンツェント ,1:55.1,38.8-37.8,2.5
